block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
E060C4J4,2881,Comment closed,2026-03-02,2026-04-02,no,2030-04-01,2026-04-09,18.0,Gold River area,3.2,0.0,0.0,0.0,17787,499,overlaps mapped old growth,4.8
E070C4LJ,1223,Comment closed,2024-04-03,2024-05-03,no,2024-04-01,2024-05-07,3.5,Gold River area,3.12,0.0,0.0,0.0,15173,2752,overlaps mapped old growth,4.7
F051C4PT,1223,Comment closed,2024-04-03,2024-05-03,no,2024-04-01,2024-05-07,3.2,Burman River,3.15,0.0,0.0,0.0,19895,2439,overlaps mapped old growth,4.7
MU001H,1599,Comment closed,2024-06-19,2024-07-19,no,2024-06-15,2024-06-11,3.1,Gold River,3.1,0.0,0.0,0.0,7497,1011,overlaps mapped old growth,4.7
BUja4XR,1223,Comment closed,2024-04-03,2024-05-03,no,2026-04-01,2024-05-07,2.5,Gold River area,2.48,0.0,0.0,0.0,18268,2052,overlaps mapped old growth,3.7
E060C4BU,2131,Comment closed,2025-03-13,2025-04-13,no,2026-04-01,2025-04-16,56.6,Gold River area,1.18,0.0,0.63,0.0,18838,2333,overlaps mapped old growth; in a priority-deferral area,3.0
E090C4N7,2881,Comment closed,2026-03-02,2026-04-02,no,2028-04-01,2026-04-09,2.6,Heber River,1.88,0.0,0.0,0.0,12130,1121,overlaps mapped old growth,2.8
F081C4N9,2881,Comment closed,2026-03-02,2026-04-02,no,2028-04-01,2026-02-27,2.6,Heber River,1.88,0.0,0.0,0.0,12130,1121,overlaps mapped old growth,2.8
BUja4XK,2131,Comment closed,2025-03-13,2025-04-13,no,2026-04-01,2025-04-16,1.4,Gold River area,1.29,0.0,0.0,0.0,17020,1194,overlaps mapped old growth,1.9
BC-1,1289,Comment closed,2024-04-04,2024-05-04,no,2024-04-15,2024-05-27,1.0,Gold River area,0.49,0.0,0.49,0.0,8997,4170,overlaps mapped old growth; in a priority-deferral area,1.7
MU011H,1599,Comment closed,2024-06-19,2024-07-19,no,2024-06-15,2024-06-11,1.5,Gold River,1.08,0.0,0.0,0.0,3580,836,overlaps mapped old growth,1.6
