block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,watershed_card,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
8249,2416,Comment closed,2025-06-19,2025-07-19,no,2025-09-01,2025-10-23,3.3,Harris Creek,Harris Creek,0.0,0.0,0.0,0.0,3031,108,near a fish record,8.0
SJsj5P4,1220,Comment closed,2024-04-03,2024-05-06,no,2025-07-03,2024-05-07,15.0,Garbage Creek,San Juan River,0.0,0.0,0.0,0.0,5605,9,near a fish record,8.0
8171,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,5.5,Harris Creek,Harris Creek,0.0,0.0,0.0,0.0,1674,95,near a fish record,8.0
C058C3HW,1220,Comment closed,2024-04-03,2024-05-06,no,2025-10-09,2024-05-07,4.5,Soule Creek,Port Renfrew area,4.46,0.0,0.0,0.0,6965,8434,overlaps mapped old growth,6.7
8013,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,4.3,Renfrew Creek,Renfrew Creek,4.25,0.0,0.0,0.0,6031,1432,overlaps mapped old growth,6.4
7116,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,6.7,Loup Creek,Gordon River,4.17,0.0,0.0,0.0,7015,12680,overlaps mapped old growth,6.3
C058C4KU,1220,Comment closed,2024-04-03,2024-05-06,no,2025-10-09,2024-05-07,4.1,Soule Creek,Port Renfrew area,4.06,0.0,0.0,0.0,6662,8333,overlaps mapped old growth,6.1
7116,2663,Comment closed,2025-10-24,2025-11-23,no,2026-04-01,2026-04-21,6.2,Loup Creek,Gordon River,3.76,0.0,0.0,0.0,7018,12681,overlaps mapped old growth,5.6
8392,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,3.3,Hemmingsen Creek,Harris Creek,3.34,0.0,0.0,0.11,7742,2238,overlaps mapped old growth; overlaps a protected old-growth area,5.2
7248,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,9.1,Braden Creek,Gordon River,1.25,0.0,1.25,0.0,4951,6830,overlaps mapped old growth; in a priority-deferral area,4.4
